,url,lyrics
0,http://www.hindilyrics.net/translation-100-Days/Pyar-Tera-Pyar.html,"['everywhere is ur', 'is ur magic', 'u are naive u dont know which way u goin', 'love ur love', 'has pulled me to u', 'come ho come', 'secret keeps gettin deeper', 'dont know where the death is hidin wich corner', 'love ur love', 'has pulled me to u', 'come ho come', 'who knows ur outcome', 'im scared thinking that what if its like mine', 'love ur love', 'has pulled me to u', 'come ho come']"
1,http://www.hindilyrics.net/translation-100-Days/Le-Le-Dil.html,"['take my heart give me urs the time is rite', 'if i leave than i will never be bak', 'how can i give u my heart its no more mine', 'it belongs to a stranger one trust me', 'i know this all jus a excuse for u', 'u are beautiful and u have millions of lovers', 'what can i do if someone magics worked on me', 'our eyez met and my heart left me', 'wherever he is my heart is with him', 'take my heart give me urs the time is rite', 'if i leave than i will never be bak', 'how can i give u my heart its no more mine', 'i have seen millions but not one like him', 'no one comes close to my lover', 'whose the lucky tell his name', 'or i dont wanna hear this excuse', 'i will decide the outcome today rite here rite now', 'take my heart give me urs the time is rite', 'if i leave than i will never be bak', 'how can i give u my heart its no more mine']"
2,http://www.hindilyrics.net/translation-1942-A-Love-Story/Ek-Ladki-Ko-Dekha.html,"['when I saw this girl, she seemed to me like...', 'like a blooming rose;', ""like a poet's dream;"", 'like a glowing ray of light;', 'like a deer in the forest;', 'like a moonlit night;', 'like a soft word;', 'like a candle burning in the temple.', 'when I saw this girl, she seemed to me like...', 'like the beauty of the morning;', 'like winter sunshine;', 'like a note from the lute;', 'like the essence of all color;', 'like a twisting vine;', 'like the play of waves;', 'like a cool scented wind.', 'when I saw this girl, she seemed to me like...', 'like a dancing feather;', 'like a silken thread;', 'like a fairy melody;', 'like the fire of sandalwood;', 'like the sixteen (traditional) ornaments of beauty;', 'like a refreshing mist;', 'like a slowly growing feeling of intoxication.', 'when I saw this girl, she seemed to me like...']"
3,http://www.hindilyrics.net/translation-1942-A-Love-Story/Kuch-Na-Kaho.html,"[""Don't say anything, don't say anything at all"", 'What is there to say, what is there to hear', 'I know, you know', 'This moment of time has stopped', 'And in this moment there is no one', 'There is just me, there is just you', ""Don't say anything, don't say anything at all"", 'How many deep and gentle colors of the evening have spread', ""From the mountains rise the clouds like a sari's hem"", 'And in this moment there is no one', 'There is just me, there is just you', ""Don't say anything, don't say anything at all"", 'Passionate breaths, staggering heartbeats', 'Fragrant shadows of the evening, melting body and soul', 'And in this moment there is no one', 'There is just me, there is just you', ""Don't say anything, don't say anything at all"", 'What is there to say, what is there to hear', 'I know, you know', 'This moment of time has stopped', 'And in this moment there is no one', 'There is just me, there is just you', ""Don't say anything, don't say anything at all""]"
4,http://www.hindilyrics.net/translation-1942-A-Love-Story/Rooth-Na-Jaana.html,"[""please don't start sulking if I should say to you:"", 'if I were to dwell in these eyes, then what?', ""please don't start sulking if I should say to you:"", 'if I were to dwell in these eyes, then what?', ""whether you know it, or don't,"", ""whether you agree, or don't,"", ""you won't ever find another madman like me."", ""you'll remember me when I'm gone."", ""please don't start sulking if I should say to you:"", 'this madness of mine will never lessen;', 'commit as many atrocities as you like.', 'this madness of mine will never lessen;', 'commit as many atrocities as you like.', ""whether you speak to me or don't;"", ""whether you look at me or don't."", ""i don't even think you'll come to meet me."", '[but] if I endure all these injustices with laughter, then what?', ""please don't start sulking if I should say to you:"", 'in the river of love there are a thousand waves;', 'the one who drowns in these waves crosses the ocean.', 'in the river of love there are a thousand waves;', 'the one who drowns in these waves crosses the ocean.', 'high and low, high and low,', 'low and high, low and high...', ""we'll see if you don't come to me in these waves. (lit.: i'll see how you won't come to me in these waves.)"", 'if I flow along in these waves, then what?', ""please don't start sulking if I should say to you:"", ""whether you know it or don't,"", ""whether you agree or don't,"", ""you won't ever find another madman like me."", ""please don't start sulking if I should say to you:"", 'if I were to dwell in these eyes, then what?', ""please don't start sulking if I should say to you:"", 'if I were to dwell in these eyes, then what?']"
5,http://www.hindilyrics.net/translation-1942-A-Love-Story/Kuch-Na-Kaho-(Female).html,"[""don't speak; don't say anything at all."", 'what is there to say? what is there to hear?', 'i know; and you know.', 'this moment in time has stood still,', 'and in this moment, there is no one at all', 'save one: me, and save one: you.', ""don't speak; don't say anything at all."", 'lost, all i once knew;', 'lost, everything of my own.', 'falling through the sieve of time, all my dreams were lost.', 'lost, everything i once knew; lost, everything of my own.', 'falling through the sieve of time, all my dreams were lost.', 'and in this moment, there is no one', 'save one: me, and save one: you.', ""don't speak; don't say anything at all."", 'when we looked, all the beautiful, tender dreams,', 'the flowers, the stars, the hills and the clouds, all seemed to be ours.', 'when we looked, all the beautiful, tender dreams,', 'the flowers, the stars, the hills and the clouds, all seemed to be ours.', 'and in this moment, there is no one', 'save you, and save me.', ""don't speak; don't say anything."", 'what is there to say? what to hear?', 'i know, and you know.', 'this moment in time has stood still,', 'and in this moment, there is no one', 'save me, and save you.']"
6,http://www.hindilyrics.net/translation-1942-A-Love-Story/Yeh-Safar-Bahut-Hai.html,"[""don't let your heart despair; to do so is utterly useless"", ""grief's evening is long, but it is only an evening."", 'this journey is exceedingly hard, but', ""don't despair, my fellow traveler."", ""don't despair, my fellow traveler."", 'this is the night of tyranny; let it pass.', '[a night of] dark sorrows; let them dissolve.', 'this is the night of tyranny; let it pass.', '[a night of] dark sorrows; let them dissolve.', 'in a short time, you will understand, if', 'you do not despair, my fellow traveler...', 'these difficulties shall not always be with us.', 'these are the goals for the next turn in the road.', 'these difficulties shall not always be with us.', 'these are the goals for the next turn in the road.', 'believe what i say...', 'do not despair, my fellow traveler...', 'some day this caravan shall find', 'that new land, that new sky', 'some day this caravan shall find', 'that new land, that new sky', 'for which your gaze searches...', 'do not despair, my fellow traveler.', 'do not despair, my fellow traveler.']"
7,http://www.hindilyrics.net/translation-1942-A-Love-Story/Pyar-Hua-Chupke-Se.html,"['the heart said silently, what is this, that happened silently?', 'why do the earth and sky suddenly seem fresh and new?', 'when i asked this, the mad wind said,', 'love happened silently; what is this, that happened silently?', 'why do the earth and sky suddenly seem fresh and new?', 'i asked this, and the mad wind said,', 'love happened silently; what is this, that happened silently?', 'i heard from the butterflies...', 'the tale of a garden; in the garden was a flower bud.', 'one day the shy bud was visited by a flirtatious bee.', 'the bud bloomed wide, it assumed a new form.', 'the bud asked, what happened to me?', 'the flower laughed quietly; love happened quietly.', 'sometimes, from the clouds, i have heard this story:', 'there was a mountain river, it flowed to meet the sea.', 'it twisted and staggered, oh, it danced and swayed.', 'having gotten there, the river lost itself in the ocean', 'in order to see what sort of magician love is.', 'the moon expanded quietly; love happened quietly.', 'why do the earth and sky suddenly seem fresh and new?', 'when i asked this, the mad wind said,', 'love happened silently; what is this, that happened silently?', 'why do the earth and sky suddenly seem fresh and new?', 'when i asked this, the mad wind said...']"
8,http://www.hindilyrics.net/translation-1942-A-Love-Story/Rim-Jhim.html,"['pitter-patter...', 'in the wet, wet season, you and i, i and you...', 'we walk, we walk.', 'the harmonica plays, while on the roof,', 'water pours down like pearls.', 'the drops of this rainshower have brought that moment', 'for which we have yearned.', 'the harmonica plays, while on the roof,', 'water pours down like pearls.', 'the drops of this rainshower have brought that moment', 'for which we have yearned.', 'sheets of clouds have wrapped around the valleys;', 'the world sleeps.', 'in the damp shadows of dream villages,', 'two souls are lost.', 'sheets of clouds have wrapped around the valleys;', 'the world sleeps.', 'in the damp shadows of dream villages,', 'two souls are lost.', 'they have come to see the mirrors made by the pools;', 'the lowering clouds open cracks (in them).', 'paths of smoke, smoke; where shall we go?', 'come, we shall remain here.', 'they have come to see the mirrors made by the pools', 'the lowering clouds open cracks (in them).', 'paths of smoke, smoke; where shall we go?', ""come, let's remain here.""]"
9,http://www.hindilyrics.net/translation-1947-Earth/Banno-Rani.html,"['Oh queenly bride, you were destined to bloom.', 'You were destined to find your king.', ""One day you would become a bride, going to your king's house in the bridal palanquin."", 'You were destined to become a stranger to us, your friends.', 'Oh queenly bride, you were destined to bloom.', 'Around your eyes, the threads of kohl;', 'your fair hands are stained with henna.', 'The pendant on your forehead shines;', 'your earrings glitter;', 'the necklace round your throat sparkles.', 'Your veil is silken;', 'slowly, hesitantly,', 'you smile to yourself.', 'You were destined to grow drunk on happy dreams like this.', 'Oh queenly bride, you were destined to bloom.', 'When your lordly groom approches,', ""he'll want you to lift your veil."", ""Look here, o bride, don't heed him."", ""Don't show him your face."", 'First get him to agree to a hundred things;', 'Tell him, ""Bow down to me and say,', 'my bride, I will be your slave.', 'I\'m mad for you.""', 'It was destined that he be mad for you, that she be mad for you!', 'Oh queenly bride, you were destined to bloom.', 'You were destined to find your king.', ""One day you would become a bride, going to your king's house in the bridal palanquin."", 'You were destined to become a stranger to us, your friends.', 'Oh queenly bride, you were destined to bloom.']"
